										AB_Unfed#1_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
14A	4	a	267.831072	272.6016	271.920096	4.770528000000013	0.04574642476812718	269.875584	2.3852640000000065	0.1465536898127564	
14A	4	a	273.283104	286.913184	279.41664	13.63008000000002	0.04791366848794132	280.098144	6.81504000000001	0.39046804846682204	
14A	4	a	287.594688	289.6392	288.957696	2.0445119999999974	0.02345784757983238	288.276192	1.0222559999999987	0.028855344404934202	
14A	4	a	291.683712	297.135744	295.772736	5.452031999999974	0.02156786861908877	294.409728	2.726015999999987	0.0835339663423722	
14A	4	a	297.817248	314.173344	305.995296	16.35609599999998	0.07847048784829003	305.995296	8.17804799999999	0.7488960791605352	
14A	4	a	314.854848	335.299968	317.580864	20.445119999999974	0.06302229337119014	325.077408	10.222559999999987	0.7391097311572491	
14A	4	a	335.981472	365.967648	357.7896	29.986176	0.15877115151961552	350.97456	14.993088	2.62701986558416	
14A	4	a	368.693664	372.101184	370.738176	3.407519999999977	0.03547262338812107	370.056672	1.7037599999999884	0.08599062089582998	
14A	2	b	374.145696	376.871712	374.145696	2.7260160000000155	-0.03274872902283654	375.508704	1.3630080000000078	-0.02233223386163441	
14A	4	a	377.553216	384.368256	382.323744	6.815039999999954	0.05563670047019853	380.960736	3.407519999999977	0.2736610270614447	
14A	4	a	385.04976	391.8648	385.731264	6.81504000000001	0.030947860815897732	388.45728	3.407520000000005	0.15393870203084103	
14A	4	a	392.546304	421.169472	414.354432	28.623167999999964	0.11995454451427334	406.857888	14.311583999999982	2.479608994578139	
14A	4	a	428.666016	440.251584	432.75504	11.585567999999967	0.04714837825412421	434.118048	5.792783999999983	0.42249608820045015	
14A	4	a	443.659104	448.429632	445.703616	4.770528000000013	0.02918927395536497	445.703616	2.3852640000000065	0.1027515966742395	
14A	4	a	449.111136	455.926176	452.518656	6.81504000000001	0.03431053960979513	452.518656	3.407520000000005	0.18405760121797887	
14A	4	a	456.60768	466.148736	460.696704	9.54105599999997	0.04154260708195223	461.378208	4.770527999999985	0.3389119526600506	
14A	4	a	466.83024	489.319872	481.141824	22.489631999999972	0.09146059748003177	477.734304	11.244815999999986	1.4265566144823634	
14A	4	a	490.001376	499.542432	494.771904	9.541056000000026	0.06183459723466722	494.771904	4.770528000000013	0.3455365024720217	
14A	4	a	500.223936	502.268448	501.586944	2.0445119999999974	0.02814493658346473	500.90544	1.0222559999999987	0.03568992810177718	
