ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
19A,568775.000000,339.770012,1436.000000,27.000000,1409.000000,232.624608,697.873823,3778874.000000,2257.391876,2554.000000,1466.000000,1088.000000,149.758980,449.276940,27.146240,t041_0_1
20A,64572.000000,38.573477,250.000000,25.000000,225.000000,18.547711,55.643134,4156695.000000,2483.091398,2516.000000,2444.000000,72.000000,13.020869,39.062606,27.146240,t041_0_1
1A,3806322.000000,2273.788530,4095.000000,73.000000,4022.000000,1488.175426,4464.526278,2268249.000000,1354.987455,2444.000000,199.000000,2245.000000,640.057730,1920.173190,27.824896,t042_0_1
2A,4613551.000000,2756.004182,4095.000000,87.000000,4008.000000,1549.992503,4649.977509,2389897.000000,1427.656511,2439.000000,216.000000,2223.000000,535.882835,1607.648506,27.824896,t042_0_1
3A,3942329.000000,2355.035245,4095.000000,86.000000,4009.000000,1563.153203,4689.459608,2594678.000000,1549.986858,2461.000000,220.000000,2241.000000,581.873058,1745.619174,27.824896,t042_0_1
4A,3946019.000000,2357.239546,4095.000000,72.000000,4023.000000,1438.178981,4314.536944,2677614.000000,1599.530466,2448.000000,219.000000,2229.000000,534.091004,1602.273011,27.824896,t042_0_1
5A,4006082.000000,2393.119474,4095.000000,69.000000,4026.000000,1613.065621,4839.196864,2929503.000000,1750.001792,2457.000000,216.000000,2241.000000,625.573488,1876.720465,27.824896,t042_0_1
6A,4537913.000000,2710.820191,4095.000000,35.000000,4060.000000,1607.442847,4822.328541,2596907.000000,1551.318399,2436.000000,215.000000,2221.000000,761.425936,2284.277808,27.824896,t042_0_1
7A,3975412.000000,2374.798088,4095.000000,29.000000,4066.000000,1612.138545,4836.415636,2597129.000000,1551.451016,2450.000000,228.000000,2222.000000,682.845732,2048.537197,27.824896,t042_0_1
8A,2725624.000000,1628.210275,4095.000000,85.000000,4010.000000,1327.063840,3981.191521,2583858.000000,1543.523297,2457.000000,229.000000,2228.000000,726.454131,2179.362393,27.824896,t042_0_1
9A,2283415.000000,1364.047192,4095.000000,34.000000,4061.000000,1200.052404,3600.157211,2617464.000000,1563.598566,2474.000000,219.000000,2255.000000,703.653287,2110.959862,27.824896,t042_0_1
10A,2876282.000000,1718.209080,4095.000000,62.000000,4033.000000,1446.091813,4338.275438,2542161.000000,1518.614695,2488.000000,244.000000,2244.000000,754.916864,2264.750593,27.824896,t042_0_1
11A,2834035.000000,1692.971924,4095.000000,43.000000,4052.000000,1462.499930,4387.499790,2541183.000000,1518.030466,2474.000000,246.000000,2228.000000,700.836160,2102.508481,27.824896,t042_0_1
