ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
3A,3688685.000000,2203.515532,4095.000000,51.000000,4044.000000,1573.129589,4719.388767,1877998.000000,1121.862605,1662.000000,296.000000,1366.000000,317.612135,952.836406,2.181960,t007_0_1
4A,3261010.000000,1948.034648,4095.000000,31.000000,4064.000000,1667.384720,5002.154161,2125868.000000,1269.933094,1772.000000,269.000000,1503.000000,334.184723,1002.554170,2.181960,t007_0_1
5A,1362729.000000,814.055556,4095.000000,33.000000,4062.000000,803.299209,2409.897628,2372945.000000,1417.529869,1848.000000,306.000000,1542.000000,304.767339,914.302017,2.181960,t007_0_1
6A,816389.000000,487.687575,2416.000000,30.000000,2386.000000,349.046838,1047.140514,2451821.000000,1464.648148,1876.000000,430.000000,1446.000000,297.413302,892.239907,2.181960,t007_0_1
7A,1496809.000000,894.151135,3601.000000,31.000000,3570.000000,750.816796,2252.450387,2433947.000000,1453.970729,1789.000000,452.000000,1337.000000,224.761227,674.283680,2.181960,t007_0_1
8A,1689017.000000,1008.970729,3143.000000,44.000000,3099.000000,703.657013,2110.971039,2537685.000000,1515.940860,1856.000000,688.000000,1168.000000,213.428520,640.285559,2.181960,t007_0_1
9A,2102558.000000,1256.008363,3098.000000,128.000000,2970.000000,669.036236,2007.108708,2719777.000000,1624.717443,1914.000000,1073.000000,841.000000,153.527712,460.583135,2.181960,t007_0_1
10A,1692251.000000,1010.902628,2552.000000,59.000000,2493.000000,466.928224,1400.784671,2752823.000000,1644.458184,1970.000000,1248.000000,722.000000,128.857060,386.571180,2.181960,t007_0_1
11A,201514.000000,120.378734,454.000000,26.000000,428.000000,64.998593,194.995780,2982365.000000,1781.580048,1851.000000,1700.000000,151.000000,19.084071,57.252214,2.181960,t007_0_1
1A,3425606.000000,2046.359618,4095.000000,39.000000,4056.000000,1604.870600,4814.611801,1965848.000000,1174.341697,1672.000000,244.000000,1428.000000,355.455091,1066.365273,2.545620,t008_0_1
2A,3606779.000000,2154.587216,4095.000000,37.000000,4058.000000,1683.198714,5049.596143,1955336.000000,1168.062127,1717.000000,239.000000,1478.000000,344.998810,1034.996430,2.545620,t008_0_1
3A,3670852.000000,2192.862605,4095.000000,56.000000,4039.000000,1574.127438,4722.382315,1819629.000000,1086.994624,1619.000000,292.000000,1327.000000,307.927660,923.782980,2.545620,t008_0_1
4A,3273102.000000,1955.258065,4095.000000,29.000000,4066.000000,1663.588841,4990.766522,2104454.000000,1257.140980,1752.000000,264.000000,1488.000000,320.544044,961.632133,2.545620,t008_0_1
5A,1384669.000000,827.161888,4095.000000,42.000000,4053.000000,808.827341,2426.482023,2291863.000000,1369.093787,1787.000000,320.000000,1467.000000,293.957488,881.872465,2.545620,t008_0_1
6A,917372.000000,548.011947,3188.000000,29.000000,3159.000000,434.796714,1304.390143,2407328.000000,1438.069295,1869.000000,441.000000,1428.000000,309.340289,928.020868,2.545620,t008_0_1
7A,1476726.000000,882.154122,3606.000000,30.000000,3576.000000,750.233456,2250.700367,2418854.000000,1444.954600,1785.000000,430.000000,1355.000000,239.777897,719.333692,2.545620,t008_0_1
8A,1569986.000000,937.864994,3215.000000,51.000000,3164.000000,643.718135,1931.154406,2569347.000000,1534.854839,1873.000000,711.000000,1162.000000,190.406730,571.220189,2.545620,t008_0_1
9A,2124053.000000,1268.848865,3398.000000,169.000000,3229.000000,660.088948,1980.266843,2712682.000000,1620.479092,1903.000000,1147.000000,756.000000,145.825147,437.475442,2.545620,t008_0_1
10A,1694128.000000,1012.023895,2572.000000,30.000000,2542.000000,468.268889,1404.806666,2746762.000000,1640.837515,1992.000000,1261.000000,731.000000,129.097103,387.291309,2.545620,t008_0_1
11A,202377.000000,120.894265,394.000000,27.000000,367.000000,64.894263,194.682790,2973402.000000,1776.225806,1859.000000,1678.000000,181.000000,19.052945,57.158836,2.545620,t008_0_1
1A,3404603.000000,2033.813023,4095.000000,40.000000,4055.000000,1600.798338,4802.395014,1924106.000000,1149.406213,1599.000000,245.000000,1354.000000,343.554776,1030.664327,2.909280,t009_0_1
2A,3606649.000000,2154.509558,4095.000000,60.000000,4035.000000,1680.852298,5042.556893,1944417.000000,1161.539427,1693.000000,242.000000,1451.000000,346.765062,1040.295186,2.909280,t009_0_1
3A,3659060.000000,2185.818399,4095.000000,51.000000,4044.000000,1560.854921,4682.564764,1823942.000000,1089.571087,1631.000000,295.000000,1336.000000,296.955886,890.867657,2.909280,t009_0_1
4A,3306507.000000,1975.213262,4095.000000,30.000000,4065.000000,1665.422756,4996.268267,2094020.000000,1250.908005,1763.000000,257.000000,1506.000000,329.439718,988.319155,2.909280,t009_0_1
5A,1469056.000000,877.572282,4095.000000,30.000000,4065.000000,859.897429,2579.692288,2251259.000000,1344.838112,1789.000000,295.000000,1494.000000,312.214145,936.642434,2.909280,t009_0_1
6A,1178207.000000,703.827360,3713.000000,30.000000,3683.000000,613.168299,1839.504896,2343412.000000,1399.887694,1852.000000,414.000000,1438.000000,323.030438,969.091313,2.909280,t009_0_1
7A,1214442.000000,725.473118,3443.000000,31.000000,3412.000000,627.187596,1881.562787,2489006.000000,1486.861410,1836.000000,418.000000,1418.000000,252.097872,756.293615,2.909280,t009_0_1
8A,1139527.000000,680.721027,2842.000000,40.000000,2802.000000,462.081759,1386.245278,2506778.000000,1497.477897,1843.000000,775.000000,1068.000000,184.263972,552.791915,2.909280,t009_0_1
9A,2197420.000000,1312.676225,3161.000000,116.000000,3045.000000,680.162795,2040.488386,2720301.000000,1625.030466,1906.000000,1141.000000,765.000000,143.515075,430.545225,2.909280,t009_0_1
10A,1811133.000000,1081.919355,2854.000000,96.000000,2758.000000,490.499235,1471.497705,2765262.000000,1651.888889,1989.000000,1303.000000,686.000000,130.703417,392.110250,2.909280,t009_0_1
