ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,2631000.000000,1571.684588,4095.000000,28.000000,4067.000000,1521.956104,4565.868312,2149454.000000,1284.022700,1878.000000,231.000000,1647.000000,435.818696,1307.456089,53.508864,t115_0_1
2A,2165543.000000,1293.633811,4095.000000,28.000000,4067.000000,1524.451815,4573.355444,2229319.000000,1331.731780,1853.000000,264.000000,1589.000000,442.718305,1328.154914,53.508864,t115_0_1
3A,2212963.000000,1321.961171,4095.000000,29.000000,4066.000000,1544.216085,4632.648254,2339712.000000,1397.677419,1918.000000,339.000000,1579.000000,401.104754,1203.314262,53.508864,t115_0_1
4A,1890369.000000,1129.252688,4095.000000,27.000000,4068.000000,1482.990904,4448.972713,2374720.000000,1418.590203,2016.000000,328.000000,1688.000000,418.841569,1256.524707,53.508864,t115_0_1
5A,949247.000000,567.053166,4095.000000,26.000000,4069.000000,850.664204,2551.992612,2159996.000000,1290.320191,1966.000000,283.000000,1683.000000,426.966002,1280.898006,53.508864,t115_0_1
6A,865910.000000,517.270012,4095.000000,27.000000,4068.000000,795.335427,2386.006282,1761247.000000,1052.118877,1712.000000,285.000000,1427.000000,367.970130,1103.910389,53.508864,t115_0_1
7A,936770.000000,559.599761,4095.000000,25.000000,4070.000000,885.371310,2656.113929,2329137.000000,1391.360215,1832.000000,493.000000,1339.000000,347.967775,1043.903324,53.508864,t115_0_1
8A,908810.000000,542.897252,4095.000000,26.000000,4069.000000,781.674846,2345.024537,2331251.000000,1392.623059,1754.000000,518.000000,1236.000000,280.210246,840.630738,53.508864,t115_0_1
9A,655630.000000,391.654719,3728.000000,27.000000,3701.000000,460.747344,1382.242032,2584507.000000,1543.910992,1976.000000,878.000000,1098.000000,205.909571,617.728712,53.508864,t115_0_1
10A,465098.000000,277.836320,1252.000000,28.000000,1224.000000,177.489739,532.469218,2875040.000000,1717.467145,2010.000000,1484.000000,526.000000,69.125985,207.377956,53.508864,t115_0_1
11A,130265.000000,77.816607,359.000000,24.000000,335.000000,47.884348,143.653045,3276920.000000,1957.538829,2059.000000,1891.000000,168.000000,23.750520,71.251560,53.508864,t115_0_1
1A,2603591.000000,1555.311231,4095.000000,27.000000,4068.000000,1515.468155,4546.404464,2173863.000000,1298.603943,1873.000000,226.000000,1647.000000,445.554496,1336.663489,53.978240,t116_0_1
2A,2128664.000000,1271.603345,4095.000000,26.000000,4069.000000,1512.847762,4538.543285,2205576.000000,1317.548387,1818.000000,272.000000,1546.000000,442.425720,1327.277160,53.978240,t116_0_1
3A,2224028.000000,1328.571087,4095.000000,28.000000,4067.000000,1544.465753,4633.397259,2350629.000000,1404.198925,1934.000000,348.000000,1586.000000,391.018995,1173.056986,53.978240,t116_0_1
4A,1882424.000000,1124.506571,4095.000000,27.000000,4068.000000,1476.494265,4429.482796,2355035.000000,1406.830944,2015.000000,332.000000,1683.000000,422.672804,1268.018412,53.978240,t116_0_1
5A,960628.000000,573.851852,4095.000000,27.000000,4068.000000,872.927409,2618.782227,2219084.000000,1325.617682,1984.000000,289.000000,1695.000000,429.778376,1289.335128,53.978240,t116_0_1
6A,868563.000000,518.854839,3954.000000,26.000000,3928.000000,802.411034,2407.233103,1799479.000000,1074.957587,1715.000000,292.000000,1423.000000,359.640266,1078.920797,53.978240,t116_0_1
7A,895668.000000,535.046595,4095.000000,27.000000,4068.000000,857.772578,2573.317735,2316861.000000,1384.026882,1829.000000,489.000000,1340.000000,353.472249,1060.416747,53.978240,t116_0_1
8A,851293.000000,508.538232,4027.000000,28.000000,3999.000000,749.112069,2247.336206,2327132.000000,1390.162485,1822.000000,525.000000,1297.000000,256.945103,770.835309,53.978240,t116_0_1
9A,654922.000000,391.231780,3417.000000,27.000000,3390.000000,442.129377,1326.388131,2573768.000000,1537.495818,1964.000000,816.000000,1148.000000,210.579718,631.739153,53.978240,t116_0_1
10A,472750.000000,282.407407,1233.000000,27.000000,1206.000000,179.861061,539.583183,2876734.000000,1718.479092,2038.000000,1467.000000,571.000000,67.148775,201.446326,53.978240,t116_0_1
11A,131255.000000,78.408005,337.000000,25.000000,312.000000,49.070575,147.211725,3268827.000000,1952.704301,2057.000000,1876.000000,181.000000,23.730046,71.190137,53.978240,t116_0_1
1A,2555671.000000,1526.685185,4095.000000,28.000000,4067.000000,1513.796853,4541.390559,2123415.000000,1268.467742,1869.000000,227.000000,1642.000000,450.670502,1352.011506,54.447616,t117_0_1
2A,2132973.000000,1274.177419,4095.000000,27.000000,4068.000000,1518.522150,4555.566451,2185083.000000,1305.306452,1822.000000,269.000000,1553.000000,446.334763,1339.004288,54.447616,t117_0_1
3A,2233560.000000,1334.265233,4095.000000,28.000000,4067.000000,1559.646928,4678.940784,2361935.000000,1410.952808,1916.000000,361.000000,1555.000000,399.287633,1197.862898,54.447616,t117_0_1
4A,1902822.000000,1136.691756,4095.000000,27.000000,4068.000000,1487.459579,4462.378738,2372549.000000,1417.293309,2013.000000,325.000000,1688.000000,425.621973,1276.865919,54.447616,t117_0_1
5A,960934.000000,574.034648,4095.000000,27.000000,4068.000000,874.930041,2624.790124,2122578.000000,1267.967742,1973.000000,275.000000,1698.000000,439.869133,1319.607400,54.447616,t117_0_1
6A,856930.000000,511.905615,4095.000000,26.000000,4069.000000,787.422637,2362.267911,1805088.000000,1078.308244,1719.000000,286.000000,1433.000000,362.833360,1088.500080,54.447616,t117_0_1
7A,893742.000000,533.896057,4095.000000,27.000000,4068.000000,859.079267,2577.237802,2316508.000000,1383.816010,1840.000000,495.000000,1345.000000,345.126801,1035.380402,54.447616,t117_0_1
8A,867580.000000,518.267622,3841.000000,27.000000,3814.000000,749.403898,2248.211693,2312244.000000,1381.268817,1837.000000,528.000000,1309.000000,294.146977,882.440930,54.447616,t117_0_1
9A,662733.000000,395.897849,3519.000000,28.000000,3491.000000,457.299195,1371.897586,2598290.000000,1552.144564,1954.000000,984.000000,970.000000,200.098815,600.296446,54.447616,t117_0_1
10A,487292.000000,291.094385,1656.000000,28.000000,1628.000000,188.891609,566.674828,2878351.000000,1719.445042,1978.000000,1460.000000,518.000000,66.804345,200.413034,54.447616,t117_0_1
11A,129622.000000,77.432497,621.000000,25.000000,596.000000,49.042790,147.128370,3272065.000000,1954.638590,2070.000000,1881.000000,189.000000,24.331668,72.995005,54.447616,t117_0_1
