ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
4A,1723415.000000,1029.519116,3145.000000,27.000000,3118.000000,814.919744,2444.759233,2967246.000000,1772.548387,2384.000000,1066.000000,1318.000000,239.203625,717.610876,2.789072,t005_0_1
5A,2417001.000000,1443.847670,4095.000000,28.000000,4067.000000,1149.930256,3449.790767,2946782.000000,1760.323775,2420.000000,792.000000,1628.000000,331.957808,995.873423,2.789072,t005_0_1
6A,2352364.000000,1405.235364,4095.000000,27.000000,4068.000000,1157.745203,3473.235609,2411984.000000,1440.850657,2411.000000,300.000000,2111.000000,615.479919,1846.439757,2.789072,t005_0_1
7A,2184453.000000,1304.930108,4095.000000,31.000000,4064.000000,1215.140756,3645.422268,2995563.000000,1789.464158,2433.000000,219.000000,2214.000000,595.295482,1785.886446,2.789072,t005_0_1
8A,1782845.000000,1065.020908,4095.000000,30.000000,4065.000000,991.559777,2974.679332,2866590.000000,1712.419355,2434.000000,216.000000,2218.000000,736.428155,2209.284465,2.789072,t005_0_1
9A,1775037.000000,1060.356631,4095.000000,29.000000,4066.000000,1004.851609,3014.554826,3003099.000000,1793.965950,2437.000000,229.000000,2208.000000,630.198633,1890.595899,2.789072,t005_0_1
10A,2087052.000000,1246.745520,4095.000000,44.000000,4051.000000,1102.898121,3308.694363,2926153.000000,1748.000597,2445.000000,224.000000,2221.000000,690.937688,2072.813063,2.789072,t005_0_1
11A,2615133.000000,1562.206093,4095.000000,29.000000,4066.000000,1462.096274,4386.288821,2857774.000000,1707.152927,2453.000000,236.000000,2217.000000,665.023549,1995.070647,2.789072,t005_0_1
12A,2931036.000000,1750.917563,4095.000000,29.000000,4066.000000,1520.811232,4562.433696,2754760.000000,1645.615293,2467.000000,225.000000,2242.000000,726.952081,2180.856242,2.789072,t005_0_1
13A,2707410.000000,1617.329749,4095.000000,32.000000,4063.000000,1442.933843,4328.801528,2737383.000000,1635.234767,2478.000000,234.000000,2244.000000,746.868893,2240.606678,2.789072,t005_0_1
14A,1855051.000000,1108.154719,4095.000000,31.000000,4064.000000,1162.627146,3487.881437,2916494.000000,1742.230585,2485.000000,243.000000,2242.000000,727.863034,2183.589103,2.789072,t005_0_1
15A,1316101.000000,786.201314,3933.000000,31.000000,3902.000000,766.673385,2300.020156,3142040.000000,1876.965352,2495.000000,290.000000,2205.000000,620.369631,1861.108893,2.789072,t005_0_1
16A,682317.000000,407.596774,1882.000000,27.000000,1855.000000,316.504243,949.512730,3241554.000000,1936.412186,2518.000000,294.000000,2224.000000,632.314577,1896.943730,2.789072,t005_0_1
17A,576722.000000,344.517324,2006.000000,28.000000,1978.000000,290.861677,872.585030,3384468.000000,2021.784946,2519.000000,284.000000,2235.000000,594.714782,1784.144346,2.789072,t005_0_1
