ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
3A,880051.000000,399.841436,1434.000000,25.000000,3161906.000000,1436.577010,2114.000000,893.000000,5.653800,t010_0_1
4A,1723900.000000,783.234893,2768.000000,27.000000,3128294.000000,1421.305770,2081.000000,917.000000,5.653800,t010_0_1
5A,2186218.000000,993.283962,4095.000000,28.000000,2969670.000000,1349.236711,2049.000000,635.000000,5.653800,t010_0_1
6A,2546615.000000,1157.026352,4095.000000,33.000000,2807133.000000,1275.389823,2010.000000,435.000000,5.653800,t010_0_1
7A,1231300.000000,559.427533,3800.000000,50.000000,2756899.000000,1252.566561,1989.000000,329.000000,5.653800,t010_0_1
8A,1130443.000000,513.604271,2768.000000,66.000000,2903704.000000,1319.265788,1954.000000,264.000000,5.653800,t010_0_1
9A,1310088.000000,595.223989,2880.000000,56.000000,2626388.000000,1193.270332,1899.000000,276.000000,5.653800,t010_0_1
10A,1259750.000000,572.353476,2464.000000,60.000000,2338402.000000,1062.427079,1863.000000,248.000000,5.653800,t010_0_1
11A,1674879.000000,760.962744,2641.000000,64.000000,2517453.000000,1143.776920,1778.000000,265.000000,5.653800,t010_0_1
12A,2008070.000000,912.344389,2819.000000,79.000000,2394492.000000,1087.910950,1684.000000,256.000000,5.653800,t010_0_1
13A,1979356.000000,899.298501,2685.000000,62.000000,2429447.000000,1103.792367,1665.000000,256.000000,5.653800,t010_0_1
14A,1906886.000000,866.372558,2392.000000,57.000000,2637645.000000,1198.384825,1705.000000,254.000000,5.653800,t010_0_1
15A,1747796.000000,794.091776,2352.000000,75.000000,2587987.000000,1175.823262,1746.000000,270.000000,5.653800,t010_0_1
16A,1950223.000000,886.062244,2312.000000,63.000000,2609549.000000,1185.619718,1807.000000,315.000000,5.653800,t010_0_1
17A,1836943.000000,834.594730,2399.000000,64.000000,2729539.000000,1240.135847,1852.000000,296.000000,5.653800,t010_0_1
18A,1820505.000000,827.126306,2359.000000,46.000000,3043734.000000,1382.886870,1856.000000,343.000000,5.653800,t010_0_1
19A,828350.000000,376.351658,2064.000000,35.000000,3273284.000000,1487.180373,1897.000000,385.000000,5.653800,t010_0_1
20A,143075.000000,65.004543,178.000000,27.000000,4339286.000000,1971.506588,2052.000000,1899.000000,5.653800,t010_0_1
1A,319800.000000,145.297592,600.000000,24.000000,2863021.000000,1300.781917,2134.000000,833.000000,6.282000,t011_0_1
2A,465193.000000,211.355293,928.000000,24.000000,3209847.000000,1458.358473,2128.000000,940.000000,6.282000,t011_0_1
3A,876858.000000,398.390731,1549.000000,24.000000,3156188.000000,1433.979100,2116.000000,891.000000,6.282000,t011_0_1
4A,1734579.000000,788.086779,2695.000000,27.000000,3123125.000000,1418.957292,2079.000000,906.000000,6.282000,t011_0_1
5A,2207282.000000,1002.854157,4061.000000,29.000000,2968084.000000,1348.516129,2042.000000,636.000000,6.282000,t011_0_1
6A,2577745.000000,1171.169923,4095.000000,33.000000,2805617.000000,1274.701045,2007.000000,435.000000,6.282000,t011_0_1
7A,1266217.000000,575.291686,4095.000000,48.000000,2751427.000000,1250.080418,1983.000000,330.000000,6.282000,t011_0_1
8A,1116211.000000,507.138119,2713.000000,58.000000,2904847.000000,1319.785098,1949.000000,258.000000,6.282000,t011_0_1
9A,1287475.000000,584.950023,2747.000000,46.000000,2623523.000000,1191.968651,1892.000000,281.000000,6.282000,t011_0_1
10A,1274921.000000,579.246252,2531.000000,65.000000,2336510.000000,1061.567469,1844.000000,251.000000,6.282000,t011_0_1
11A,1684609.000000,765.383462,2625.000000,75.000000,2515524.000000,1142.900500,1786.000000,269.000000,6.282000,t011_0_1
12A,2011666.000000,913.978192,2771.000000,81.000000,2395661.000000,1088.442072,1677.000000,255.000000,6.282000,t011_0_1
13A,1997291.000000,907.447070,2610.000000,68.000000,2431470.000000,1104.711495,1669.000000,259.000000,6.282000,t011_0_1
14A,1909464.000000,867.543844,2524.000000,66.000000,2638777.000000,1198.899137,1692.000000,252.000000,6.282000,t011_0_1
15A,1753582.000000,796.720582,2336.000000,65.000000,2591000.000000,1177.192185,1743.000000,269.000000,6.282000,t011_0_1
16A,1962947.000000,891.843253,2475.000000,74.000000,2610750.000000,1186.165379,1815.000000,311.000000,6.282000,t011_0_1
17A,1834361.000000,833.421627,2447.000000,66.000000,2727434.000000,1239.179464,1853.000000,296.000000,6.282000,t011_0_1
18A,1825705.000000,829.488869,2272.000000,48.000000,3045696.000000,1383.778283,1850.000000,338.000000,6.282000,t011_0_1
19A,797394.000000,362.287142,2067.000000,49.000000,3277260.000000,1488.986824,1902.000000,396.000000,6.282000,t011_0_1
