ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
7A,1050763.000000,627.695938,2925.000000,149.000000,726505.000000,433.993429,575.000000,125.000000,3.956688,t007_0_1
8A,976091.000000,583.089008,3817.000000,149.000000,683698.000000,408.421744,578.000000,123.000000,3.956688,t007_0_1
9A,1182764.000000,706.549582,4095.000000,149.000000,720698.000000,430.524492,577.000000,121.000000,3.956688,t007_0_1
10A,1526261.000000,911.744922,4095.000000,150.000000,715596.000000,427.476703,581.000000,120.000000,3.956688,t007_0_1
11A,1453142.000000,868.065711,3126.000000,151.000000,720092.000000,430.162485,578.000000,126.000000,3.956688,t007_0_1
12A,1437766.000000,858.880526,4095.000000,151.000000,760945.000000,454.566906,579.000000,131.000000,3.956688,t007_0_1
13A,1652380.000000,987.084827,4095.000000,153.000000,732590.000000,437.628435,577.000000,114.000000,3.956688,t007_0_1
14A,1441128.000000,860.888889,4095.000000,160.000000,756411.000000,451.858423,578.000000,123.000000,3.956688,t007_0_1
15A,1383256.000000,826.317802,4095.000000,168.000000,714585.000000,426.872760,577.000000,111.000000,3.956688,t007_0_1
16A,1299850.000000,776.493429,4095.000000,154.000000,722369.000000,431.522700,580.000000,127.000000,3.956688,t007_0_1
17A,1219592.000000,728.549582,4095.000000,156.000000,827836.000000,494.525687,581.000000,133.000000,3.956688,t007_0_1
18A,961135.000000,574.154719,4095.000000,155.000000,828356.000000,494.836320,582.000000,143.000000,3.956688,t007_0_1
19A,1017813.000000,608.012545,4095.000000,154.000000,875499.000000,522.998208,579.000000,180.000000,3.956688,t007_0_1
20A,261210.000000,156.039427,241.000000,148.000000,944293.000000,564.093787,576.000000,548.000000,3.956688,t007_0_1
1A,2477623.000000,1480.061529,4095.000000,147.000000,620001.000000,370.370968,564.000000,197.000000,4.616136,t008_0_1
2A,2340417.000000,1398.098566,4095.000000,150.000000,648535.000000,387.416368,569.000000,164.000000,4.616136,t008_0_1
3A,1549557.000000,925.661290,4095.000000,151.000000,650504.000000,388.592593,566.000000,168.000000,4.616136,t008_0_1
4A,1164795.000000,695.815412,3832.000000,149.000000,661714.000000,395.289128,572.000000,144.000000,4.616136,t008_0_1
5A,870457.000000,519.986260,2427.000000,149.000000,692156.000000,413.474313,581.000000,141.000000,4.616136,t008_0_1
6A,890032.000000,531.679809,3040.000000,150.000000,694405.000000,414.817802,579.000000,143.000000,4.616136,t008_0_1
7A,1062617.000000,634.777180,3483.000000,149.000000,728184.000000,434.996416,581.000000,128.000000,4.616136,t008_0_1
8A,983440.000000,587.479092,4013.000000,150.000000,684920.000000,409.151732,579.000000,122.000000,4.616136,t008_0_1
9A,1190532.000000,711.189964,4095.000000,149.000000,722906.000000,431.843489,580.000000,118.000000,4.616136,t008_0_1
10A,1519243.000000,907.552569,4095.000000,150.000000,715429.000000,427.376941,578.000000,116.000000,4.616136,t008_0_1
11A,1452149.000000,867.472521,3569.000000,149.000000,721124.000000,430.778973,583.000000,130.000000,4.616136,t008_0_1
